eID,ra_e,dec_e,mean_xmmra,mean_xmmdec,number of xmm positions,ra_gaia,dec_gaia,sep_gaia2xmm,Plx,e_Plx,PM,e_pmRA,e_pmDE,Gmag,BPmag,RPmag
41.0,266.4335082966224,-29.081508762673604,266.43296783345386,-29.082402412521056,80.0,266.43299376081,-29.0824013289,0.08166374014999729,5.8334,0.024299999698996544,10.215,0.023000000044703484,0.014999999664723873,11.114663,11.484641,10.571343
43.0,267.94659104326496,-30.18009070564636,267.9484525376293,-30.17964711664048,2.0,267.94822775577,-30.18033957987,2.5891553781774674,nan,nan,nan,nan,nan,18.595066,18.017838,16.093973
46.0,267.5720205839212,-31.244372229936,267.57312296539715,-31.243551169419586,1.0,267.57321951836,-31.24361172151,0.36855700673969904,0.7289,0.018799999728798866,2.215,0.02199999988079071,0.014000000432133675,13.72121,14.445297,12.885681
48.0,261.1345183254265,-34.46242610670744,261.13485346238417,-34.462871871705026,2.0,261.13496977248,-34.46241409979,1.6837511561784626,6.9817,0.01860000006854534,32.417,0.020999999716877937,0.014999999664723873,10.009791,10.320284,9.533586
49.0,260.6204523132865,-37.44929090182716,260.6204807650839,-37.44875698453436,1.0,260.62068742404,-37.44879570154,0.6068606245203597,8.2813,0.014100000262260437,33.403,0.017000000923871994,0.012000000104308128,10.673111,11.198893,9.997825
50.0,261.6739005347658,-35.68096918001647,261.6732627931276,-35.68147556701936,1.0,261.67382364297,-35.68122133174,1.8781294160445228,7.375,0.014399999752640724,31.166,0.01600000075995922,0.009999999776482582,10.797821,11.296174,10.134153
51.0,260.1334220286023,-35.852933404066405,260.1328183563356,-35.852904408521916,1.0,260.13238367775,-35.85314246306,1.530728126396394,0.4936,0.02590000070631504,2.456,0.02800000086426735,0.020999999716877937,11.343689,12.4879,10.267383
53.0,260.5259080440685,-36.29500553163282,260.52489346727396,-36.294340958543984,2.0,260.52508836281,-36.29438071453,0.5833295834028901,7.0371,0.019300000742077827,39.597,0.01899999938905239,0.014999999664723873,13.404633,14.205303,12.519258
55.0,260.6432520289815,-36.79911587521401,260.64296397624526,-36.79931359265304,2.0,260.6432456979,-36.79943437466,0.9211849255234869,1.1844,0.014700000174343586,6.561,0.017999999225139618,0.012000000104308128,13.121994,13.980093,12.200738
56.0,261.4596305990784,-35.51644937185561,261.4601043031581,-35.51536145625613,2.0,261.45969557431,-35.51538084837,1.1997126185505496,3.2299,0.038100000470876694,5.568,0.03999999910593033,0.02800000086426735,11.486451,11.828041,10.782455
57.0,259.81337681735636,-36.25894255241973,259.8157019744008,-36.259495366352965,1.0,259.81542269054,-36.25902385613,1.8811061101646418,7.1056,0.029200000688433647,38.591,0.032999999821186066,0.027000000700354576,13.901935,15.146036,12.788746
58.0,261.0859965389454,-35.35455540449031,261.0853586999771,-35.35529452308191,1.0,261.08531726764,-35.355707687,1.4923564281126684,-0.6275,0.21739999949932098,3.461,0.2759999930858612,0.1889999955892563,14.691133,16.030476,13.46063
59.0,261.522735363537,-36.74960031547538,261.52232172454455,-36.74891184659898,1.0,261.5221120731,-36.74924746873,1.351134831090526,0.7449,0.02879999950528145,4.446,0.03400000184774399,0.026000000536441803,14.622508,15.720806,13.565595
60.0,261.1010830553338,-36.60796599568118,261.10110577435387,-36.60942151986828,2.0,261.1013223431,-36.60932325861,0.7188924045379725,1.6376,0.015200000256299973,22.376,0.01600000075995922,0.010999999940395355,12.061601,12.791893,11.227324
61.0,260.1107822446895,-35.735668645110906,260.11003203507073,-35.73538473691608,2.0,260.11030799545,-35.73524946459,0.94204649350514,0.6437,0.01860000006854534,1.66,0.020999999716877937,0.014000000432133675,9.76714,10.355335,8.98498
62.0,260.8794033845159,-34.73980471676686,260.8787873075264,-34.74073096184665,1.0,260.8792573607,-34.74039917685,1.83310187535134,7.4433,0.02710000053048134,29.086,0.026000000536441803,0.017999999225139618,13.957007,15.298066,12.805522
64.0,261.6866176952959,-35.03520383828944,261.6886673225844,-35.035215588911115,2.0,261.68850720728,-35.03478719187,1.612831861450307,6.4456,0.04039999842643738,121.097,0.05299999937415123,0.03799999877810478,15.66989,17.297005,14.434557
65.0,261.5828089395502,-36.17263983619262,261.585680188221,-36.17212183572379,2.0,261.58612459014,-36.1719524329,1.42822343711098,1.0208,0.023600000888109207,23.056,0.02500000037252903,0.017000000923871994,12.69663,13.594042,11.75978
66.0,259.529985966291,-36.18427617911433,259.5293776539683,-36.18336414169335,1.0,259.52963189162,-36.18296718389,1.6086969626255916,2.7967,0.030799999833106995,24.592,0.03500000014901161,0.02500000037252903,14.981823,16.082108,13.943809
67.0,260.56519320771406,-35.492445787598946,260.5656581003841,-35.49192596229043,2.0,260.56565114355,-35.49151380944,1.4838903745801761,0.8295,0.05130000039935112,2.731,0.061000000685453415,0.04500000178813934,16.257263,17.33661,15.224348
68.0,260.9144278910184,-35.669913822593344,260.9146009472584,-35.6692547460797,1.0,260.91486710668,-35.66951072637,1.206294797840408,0.8312,0.02329999953508377,6.613,0.027000000700354576,0.019999999552965164,11.377128,12.486538,10.336536
69.0,261.6074750261005,-35.273340044177466,261.6068752812215,-35.272947179333975,1.0,261.60638462175,-35.27305896693,1.497185224437092,0.8411,0.0142000000923872,5.297,0.01600000075995922,0.012000000104308128,11.900976,12.959863,10.88677
71.0,259.81036846411234,-36.18749639258382,259.8125272007569,-36.188354940678,1.0,259.81233179099,-36.18792028236,1.6645898248086022,5.2808,0.02250000089406967,21.745,0.027000000700354576,0.02199999988079071,12.564694,13.10825,11.857844
72.0,261.7189864558834,-35.970341954500775,261.7173687176866,-35.9692347058766,1.0,261.71793850363,-35.96898820625,1.8824200663466684,0.9589,0.265500009059906,2.998,0.328000009059906,0.23100000619888306,18.023127,19.544851,16.641556
73.0,260.66843713392797,-35.27456732307451,260.66782691199705,-35.275018776641126,1.0,260.66796972469,-35.27486733368,0.6880466062339156,6.4274,0.016599999740719795,37.807,0.019999999552965164,0.013000000268220901,12.697254,13.366852,11.90604
75.0,261.3425288361014,-36.40513141310932,261.3435836890424,-36.40743190297636,10.0,261.34362694321,-36.40731354816,0.44412559004094165,0.7907,0.019099999219179153,3.74,0.02199999988079071,0.01600000075995922,11.255011,12.189043,10.307317
76.0,260.3263039946659,-36.14861845011721,260.32624851050065,-36.14845947053195,2.0,260.32618273302,-36.14822875783,0.8522921868671142,6.5433,0.030400000512599945,25.822,0.03700000047683716,0.02500000037252903,14.898155,16.553001,13.656054
78.0,263.4179743565653,-31.374683365165215,263.41809770963107,-31.373950225423968,1.0,263.41830774663,-31.37453523347,2.2027540150159037,0.8025,0.01759999990463257,6.945,0.020999999716877937,0.014000000432133675,13.288948,14.63895,12.150171
79.0,263.6772680364131,-32.58166528223829,263.67685002380443,-32.58176273916573,2.0,263.67705055724,-32.58166540311,0.7020151148201841,1.1666,0.07069999724626541,2.74,0.08299999684095383,0.057999998331069946,5.710343,5.67486,5.566896
80.0,262.638407616203,-33.65430228090968,262.63865678463907,-33.65425467926965,5.0,262.638988165,-33.65442052026,1.1586787516212969,2.8084,0.027899999171495438,8.874,0.03200000151991844,0.023000000044703484,8.088982,8.704732,7.327358
81.0,261.8567508862413,-33.28110266334197,261.8559451052672,-33.2805467290261,1.0,261.85640355748,-33.28025820935,1.727005014476073,8.1519,0.014800000004470348,29.23,0.01600000075995922,0.010999999940395355,10.59716,11.093231,9.936172
83.0,263.05458494078016,-32.28329289510054,263.05494094826486,-32.28353037417335,2.0,263.05510775296,-32.28332216464,0.905295761913888,10.3052,0.020800000056624413,35.154,0.019999999552965164,0.014000000432133675,8.79078,9.038296,8.381509
84.0,262.35648141188324,-33.76063225830174,262.35669225839456,-33.760803239188704,4.0,262.35665776356,-33.76057535197,0.8268644577854679,20.9882,0.020600000396370888,77.238,0.023000000044703484,0.017000000923871994,8.359515,8.699506,7.847146
85.0,261.28665358055815,-34.186791111860764,261.28740349658455,-34.18675744009415,1.0,261.28688871514,-34.18680508838,1.5425639075318371,0.4923,0.028599999845027924,3.917,0.03500000014901161,0.02500000037252903,9.836304,10.904341,8.782917
